Date debut;Date fin;Titre compétition;Ville;Code structure;Club organisateur;Code region;Departement;Discipline;Type;Saison;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Mail;Unnamed: 22;Unnamed: 23;Site web;Lieu;Unnamed: 26;Adresse;Spécificité;CP;Ville compétition;Long;Lat;Mandat;
21/03/2026;21/03/2026;CHAIRMARTIN 3D SÉLECTION;CHEMILLÉ;1249061;CHEMILLE;CR12;49;Loisirs;individuel;2026;;;;Débutants;;;;;;;archerschemillois.president@gmail.com;0;;;terrain;;1 Rue des étangs de melay;;49120;CHEMILLE;47.18388;-0.69659;https://extranet.ffta.fr/medias/documents_epreuves/10e287a1bdac0e.pdf;
21/03/2026;21/03/2026;CHAIRMARTIN 3D SÉLECTION;SAUMUR;1249066;SAUMUR;CR12;49;Loisirs;individuel;2026;;;;Débutants;;;;;;;patrickmartin49@orange.fr;0;;http://ja-saumur-tiralarc.com;Terrefort;;Rue de romans;;49400;SAUMUR;47.24718;-0.10687;;
21/03/2026;21/03/2026;TIR NATURE LE MANS;LE MANS;1272103;LE MANS NATURE;CR12;72;Tir Nature;individuel;2026;;;;21 CIBLES;;;;;;;didier.tollet0277@orange.fr;0;;http://lesarchersdelanature.fr;LE MANS NATURE;;Route de la blanchardiere;Domaine de la blanchardiere;72560;CHANGE;47.99063;0.2683;https://extranet.ffta.fr/medias/documents_epreuves/10e1fe73ad6959.pdf;
22/03/2026;22/03/2026;TIR EN CAMPAGNE D'ORVAULT;ORVAULT;1244042;ORVAULT;CR12;44;Tir en Campagne;individuel;2026;;;;12 CONNUES + 12 INCONNUES;;;;N;;;archers.orvault@gmail.com;0;;http://www.archersdorvault.com;Chateau de la Tour;;Chemin du chateau de la tour;;44700;ORVAULT;47.28802;-1.62441;https://extranet.ffta.fr/medias/documents_epreuves/10e01722827b41.pdf;
22/03/2026;22/03/2026;TIR NATURE LE MANS;LE MANS;1272103;LE MANS NATURE;CR12;72;Tir Nature;individuel;2026;;;;21 CIBLES;;;;;;;didier.tollet0277@orange.fr;0;;http://lesarchersdelanature.fr;LE MANS NATURE;;Route de la blanchardiere;Domaine de la blanchardiere;72560;CHANGE;47.99063;0.2683;https://extranet.ffta.fr/medias/documents_epreuves/10e1fe75b234e7.pdf;
28/03/2026;28/03/2026;FIN DE SAISON SALLE;MAINE;1272108;LE MANS MAINE;CR12;72;Loisirs;individuel;2026;;;;Autre;;;;;;;contacts@arcdumaine.fr;0;;http://www.arcdumaine.fr;;;;;;;48.0236;0.1998;https://extranet.ffta.fr/medias/documents_epreuves/10ea196393754f.pdf;
28/03/2026;28/03/2026;CONCOURS ENTRE NOUS;SILLE LE GUILLAUME;1272109;SILLE LE GUILLAUME;CR12;72;Loisirs;individuel;2026;;;;Autre;;;;;;;nathaliebecu@wanadoo.fr;0;;;La Metallerie;;209 Rue marcel tabur;;72140;CRISSE;48.17502;-0.14927;;
29/03/2026;29/03/2026;TROPHÉE DES MIXTES CD 53;MESLAY DU MAINE;1253072;MESLAY DU MAINE;CR12;53;Loisirs;par équipe;2026;;;;Trophée des mixtes;;;;;;;ciestgeorgesmeslay@gmail.com;0;;;;;;;;;47.9489365968385;-0.5576222677197007;;
01/04/2026;01/04/2026;TAE JEUNES;LA CHAPELLE SUR ERDRE;CR12;CR  PAYS DE LA LOIRE;CR12;44;Tir à l'Arc Extérieur;individuel;2026;;;;;20m,30m,40m,50m,60m,70m;;;N;;;secretariat@arc-paysdelaloire.fr;0;;https://www.arc-paysdelaloire.fr;CREPS;;5 Avenue de la babiniere;;44240;LA CHAPELLE SUR ERDRE;47.264025903242874;-1.5457641466671348;;
04/04/2026;04/04/2026;3D PAQUES;BOULOIRE;1272093;BOULOIRE;CR12;72;Tir 3D;individuel;2026;;;;1 X 24 CIBLES;;;;N;;;archersduboisdesvallees@gmail.com;0;;;La Brousse;;Chemin pouvardière à la courbe;;72440;BOULOIRE;47.96444;0.5756;https://extranet.ffta.fr/medias/documents_epreuves/10e323e311d61c.pdf;
